id,name,type,source_dataset_id,data_owner
agency-ubnd-daklak,UBND tỉnh Đắk Lắk,managing-authority,project-portfolio-daklak-real-2026-09,
agency-ubnd-bmt,UBND TP Buôn Ma Thuột,managing-authority,project-portfolio-daklak-real-2026-09,
agency-cuc-hang-khong,Cục Hàng không Việt Nam,managing-authority,project-portfolio-daklak-real-2026-09,
