id,title,issuing_authority,document_number,issued_date,legal_status,source_url,source_dataset_id,verification_status
refdoc-vanhdai-tay-01,"TP Buôn Ma Thuột phê duyệt 9,5 tỷ đồng cải tạo đường vành đai phía Tây",Dân tộc & Phát triển (VietNamNet),,,unknown,https://dantocphattrien.vietnamnet.vn/thanh-pho-buon-ma-thuot-phe-duyet-9-5-ty-dong-cai-tao-duong-vanh-dai-phia-tay-37099.html,project-portfolio-daklak-real-2026-09,reviewed
refdoc-vanhdai-tay-02,"Đường tránh tây Buôn Ma Thuột mặt đường hư hỏng, dễ gây tai nạn",Tuổi Trẻ,,2025-12-24,unknown,https://tuoitre.vn/duong-tranh-tay-buon-ma-thuot-mat-duong-hu-hong-de-gay-tai-nan-20251224143535803.htm,project-portfolio-daklak-real-2026-09,reviewed
refdoc-ct24-01,"Tăng tốc thực hiện cao tốc Khánh Hòa – Buôn Ma Thuột, hoàn thành toàn tuyến vào dịp 2/9/2026",Cổng Thông tin điện tử Chính phủ,,2026-03-19,unknown,https://baochinhphu.vn/tang-toc-thuc-hien-cao-toc-khanh-hoa-buon-ma-thuot-hoan-thanh-toan-tuyen-vao-dip-2-9-2026-102260319161457348.htm,project-portfolio-daklak-real-2026-09,reviewed
refdoc-ct24-02,Khánh thành đường tránh phía Đông Buôn Ma Thuột và thông xe kỹ thuật dự án thành phần 3,Báo Đắk Lắk,,,unknown,https://baodaklak.vn/kinh-te/202512/khanh-thanh-duong-tranh-phia-dong-buon-ma-thuot-va-thong-xe-ky-thuat-du-an-thanh-phan-3-du-an-cao-toc-khanh-hoa-buon-ma-thuot-2240843/,project-portfolio-daklak-real-2026-09,reviewed
refdoc-chk-01,Cần hơn 3.800 tỷ đồng nâng cấp Cảng hàng không Buôn Ma Thuột,Báo Đầu tư,,2023-11-27,unknown,https://baodautu.vn/can-hon-3800-ty-dong-nang-cap-cang-hang-khong-buon-ma-thuot-d203896.html,project-portfolio-daklak-real-2026-09,reviewed
refdoc-chk-02,Đề xuất đầu tư gần 20.000 tỷ đồng mở rộng sân bay Buôn Ma Thuột,VnEconomy,,2026-04-28,unknown,https://vneconomy.vn/de-xuat-dau-tu-gan-20000-ty-dong-mo-rong-san-bay-buon-ma-thuot.htm,project-portfolio-daklak-real-2026-09,reviewed
